category	time	position	Fst	pi	Dxy	T
neu	6	110000	0.0571983977755511	0.000263914690581162	1.70124738412291e-05	300
swp	6	110000	0.10307160208	0.0002407499536	3.10076434435584e-05	300
neu	7	110000	0.0596106952164329	0.000261567373547094	1.8245209256961e-05	400
swp	7	110000	0.10514610504	0.0002432168126	3.18840819539766e-05	400
neu	8	110000	0.0582718183386774	0.000260810796192385	1.77704003332476e-05	500
swp	8	110000	0.10508339202	0.0002436190738	3.13915975424683e-05	500
neu	0	130000	0.05751010624	0.0002684261996	1.79483502856133e-05	20
swp	0	130000	0.06096738931	0.0002691543294	1.88391002426653e-05	20
neu	1	130000	0.05506610236	0.000268080188	1.70139592983181e-05	40
swp	1	130000	0.07424821654	0.0002610615824	2.37744041582035e-05	40
neu	2	130000	0.0569084862	0.0002678285464	1.74134050957689e-05	60
swp	2	130000	0.09340688624	0.0002530888194	2.98053978029866e-05	60
neu	3	130000	0.05568638059	0.000267607569	1.71776139613464e-05	80
